# Rime table
# coding: utf-8
#@/db_name	cn_en.txt
#@/db_type	tabledb
#
# ------- 中英混輸詞庫 -------
#
# 此行之後不能寫註釋
0尊	miti
7仔	juod
A區	asr
A卡	ayy
A口	ar
A型	amg
A塔	agr
A屏	ast
A座	aig
A杖	adk
A杯	adf
A棟	adw
A樓	adv
A款	ago
A殼	age
A片	aln
A班	amg
A盤	aht
A級	ave
A組	avm
A罩	awj
A股	abe
A面	aml
A點	awr
B區	bsr
B口	br
B哥	bmr
B型	bmg
B座	big
B杯	bdf
B棟	bdw
B樓	bdv
B款	bgo
B殼	bge
B班	bmg
B盤	bht
B站	byr
B級	bve
B組	bvm
B罩	bwj
B股	bbe
B超	bgr
B面	bml
B點	bwr
C區	csr
C口	cr
C型	cmg
C座	cig
C朗	cib
C杯	cdf
C棟	cdw
C槽	cda
C樓	cdv
C款	cgo
C殼	cge
C班	cmg
C盤	cht
C級	cve
C組	cvm
C罩	cwj
C羅	cwg
C面	cml
D區	dsr
D口	dr
D型	dmg
D座	dig
D杯	ddf
D棟	ddw
D槽	dda
D樓	ddv
D款	dgo
D殼	dge
D班	dmg
D盤	dht
D級	dve
D組	dvm
D罩	dwj
D面	dml
E人	eo
E區	esr
E口	er
E型	emg
E座	eig
E杯	edf
E棟	edw
E樓	edv
E款	ego
E盤	eht
E神	eil
E組	evm
E罩	ewj
F區	fsr
F口	fr
F型	fmg
F座	fig
F杯	fdf
F棟	fdw
F樓	fdv
F款	fgo
F盤	fht
F組	fvm
F罩	fwj
G杯	gdf
G盤	ght
G罩	gwj
G胖	gbq
G鋒	gcj
G點	gwr
H杯	hdf
H版	hxe
H罩	hwj
H股	hbe
I人	io
J盤	jht
K寶	kjc
K歌	kmo
K粉	kfh
K線	kve
L碼	lmf
M碼	mmf
M記	myu
N卡	nyy
N多	nni
N年	noq
N次	nmo
N股	nbe
N遍	nyb
O型	omg
P圖	pww
P社	pig
P站	pyr
Q幣	qfb
Q彈	qnj
Q我	qz
Q版	qxe
R級	rve
S形	smh
S碼	smf
S級	sve
S股	sbe
T恤	tpt
T臺	tgg
U形	umh
U盤	uht
U盾	uhu
V煞	vnf
V社	vig
V站	vyr
V領	voc
X光	xfu
X刀	xsh
X軸	xjw
Y軸	yjw
Z軸	zjw
二B	mmb
傻B	oeb
傻X	oex
加Q	krq
動L	hsl
呢d	rpd
唱K	rak
圈X	wux
大A	ka
大J	kj
大V	kv
平A	mja
柯P	drp
牛B	hqb
維A	vga
維B	vgb
維C	vgc
維D	vgd
維E	vge
維K	vgk
老K	jpk
裝B	vvb
逗B	ytb
阿Q	nrq
雙B	oeb
類C	fcc
O嘴	orb
3G	mmg
4G	wcg
5G	mmg
2D	mmd
3D	mmd
4D	wcd
12碼	mmmmf
23條	mmmmod
4S店	wcsir
A4紙	awcvp
A4腰	awcbv
AA制	aahn
AA吧	aaru
AB型	abmg
A出口	auur
A和B	ahrb
A型號	amgru
A型血	amght
A罩杯	awjdf
A血型	ahtmg
BB機	bbdi
B出口	buur
B型號	bmgru
B型血	bmght
B細胞	bvwbu
B罩杯	bwjdf
B血型	bhtmg
C出口	cuur
C型號	cmgru
C罩杯	cwjdf
C語言	cyryr
DJ版	djxe
D之國	diowm
D出口	duur
D型號	dmgru
D罩杯	dwjdf
E出口	euur
E型號	emgru
e招貸	eqrxu
E罩杯	ewjdf
Fn鍵	fncq
F出口	fuur
F型號	fmgru
F罩杯	fwjdf
Go程	gohg
G罩杯	gwjdf
G高達	gyryq
H罩杯	hwjdf
IC卡	icyy
IP卡	ipyy
IT業	ittd
IT狗	itkr
IT界	itwl
Kai	kai
K歌王	kmomg
K線圖	kveww
MC興	mchc
M字額	mjdjc
M系列	mhfmn
N多人	nnio
N多個	nnior
n次方	nmoys
OK不	okmf
OK了	oknn
OK呀	okrh
OK啊	okrr
OK啦	okrt
OK嗎	okrf
OK嘛	okrc
OK麼	okii
O型血	omght
O血型	ohtmg
PC版	pcxe
PC端	pcyb
pH值	phom
PK賽	pkjc
P一下	pmmy
P個圖	porww
QQ堂	qqfg
QQ秀	qqhs
QQ群	qqsq
QQ號	qqru
S曲線	sxwve
TF卡	tfyy
TF版	tfxe
TG群	tgsq
TV版	tvxe
T型臺	tmggg
T恤衫	tptlh
T細胞	tvwbu
Up主	upyg
U型鎖	umgcc
U形管	umhhr
V字形	vjdmh
V字領	vjdoc
V怪客	vpgjr
V高達	vyryq
W酒店	wewir
W飯店	woeir
XO醬	xovw
X光片	xfuln
X和Y	xhry
X射線	xhive
X戰警	xritr
X教授	xjkqe
X檔案	xdwjd
Z世代	zptop
z變換	zvkqk
Z高達	zyryq
γ射線	zfhive
三K黨	mmkff
不OK	mfok
唔OK	rrok
互fo	mmfo
做B超	okbgr
充Q幣	yuqfb
加QQ	krqq
呢d野	rpdwn
周K線	brkve
嗑CP	rtcp
封IP	giip
就OK	yuok
很OK	hvok
拍CT	qact
換IP	qkip
日K線	akve
月K線	bkve
染色體	ednubt
查IP	dmip
減CD	ercd
炒CP	fhcp
第N次	hhnmo
維E乳	vgebu
艾AA	xkaa
芭比Q	tuppq
謎擬Q	ydqoq
集保e	odode
on9	onkn
fd子	fdnd
Tg群	tgsq
24小時	mmwcncai
85大樓	hommkdv
AAA級	aaave
AB型血	abmght
AB血型	abhtmg
AD鈣奶	adcsvs
ATM機	atmdi
AV女優	avvoe
Big膽	bigbr
Cmd鍵	cmdcq
CT檢查	ctdodm
C朗拿度	ciboqie
Del鍵	delcq
DJ舞曲	djoqxw
DVD版	dvdxe
D之一族	diomyk
D槽很滿	ddahveb
Esc鍵	esccq
Go聖經	gosgvm
Go語言	goyryr
IC設計	icyeyj
IC產業	icymtd
iOS版	iosxe
iOS端	iosyb
IP地址	ipgdgm
IP電話	ipmuyr
IT行業	ithntd
JW萬豪	jwtbyo
JK羅琳	jkwgmd
K歌之王	kmoiomg
Mac版	macxe
Mac端	macyb
OK了嗎	oknnrf
Opt鍵	optcq
O不OK	omfok
PC版本	pcxedm
PIN碼	pinmf
POS機	posdi
Pro版	proxe
PUK碼	pukmf
PVC管	pvchr
QQ三國	qqmmwm
QQ好友	qqvdke
QQ拼音	qqqjya
QQ會員	qqoarc
QQ空間	qqjmaa
QQ號碼	qqrumf
QQ遊戲	qqydyi
QQ郵箱	qqhlhu
QQ音樂	qqyavd
QQ音速	qqyayl
QQ飛車	qqnojj
SIM卡	simyy
Tab鍵	tabcq
TF版本	tfxedm
TV版本	tvxedm
UIM卡	uimyy
USB口	usbr
USB線	usbve
V8引擎	vhonltq
VIP卡	vipyy
Web版	webxe
Web端	webyb
Win版	winxe
Win端	winyb
X德雷克	xhpmwju
X染色體	xednubt
YY語音	yyyrya
Y染色體	yednubt
z逆變換	zyuvkqk
偽ABC	ofabc
全民K歌	ogrpkmo
公網IP	civvip
卡bug	yybug
卡拉OK	yyqtok
哆啦A夢	rnrtatn
啥bug	xrbug
喊cut	rrcut
多邊獸Z	niysxkz
好Sad	vdsad
好Top	vdtop
寫bug	jfbug
我OK啊	zokrr
我叫MT	zrlmt
找bug	qibug
提bug	qobug
改bug	skbug
最Sad	aesad
最Top	aetop
有bug	kbbug
查bug	dmbug
橫濱FC	xcxcfc
民眾大A	rpwoka
沒bug	eebug
異維A酸	wcvgame
發EMS	neems
精工5號	fbmmmmru
維生素A	vghmqfa
維生素B	vghmqfb
維生素C	vghmqfc
維生素D	vghmqfd
維生素E	vghmqfe
維生素K	vghmqfk
胸部X光	bkylxfu
芒果TV	tvwdtv
芭比Q了	tuppqnn
華Dee	tjdee
蒙奇D龍	tokrdyp
阿Q正傳	nrqmmoi
阿Q精神	nrqfbil
阿Sir	nrsir
降A大調	nqakyr
降B大調	nqbkyr
降B小調	nqbncyr
降D大調	nqdkyr
降E大調	nqekyr
降E小調	nqencyr
降G大調	nqgkyr
頭文字D	mcykjdd
騰訊QQ	bfyjqq
Kam撚	kamqf
Kai子	kaind
I人E人	ioeo
個mon	ormon
3G網絡	mmgvvvr
4G網絡	wcgvvvr
5G網絡	mmgvvvr
3G流量	mmgeuag
4G流量	wcgeuag
5G流量	mmgeuag
3G方案	mmgysjd
4G方案	wcgysjd
5G方案	mmgysjd
4G熱點	wcggfwr
5G熱點	mmggfwr
3D打印	mmdqnhl
2D電影	mmdmuah
3D電影	mmdmuah
AE86	aehoyc
Asso仔	assood
Beta版	betaxe
B淋巴細胞	bedauvwbu
Caps鍵	capscq
CCTVB	cctvb
Ctrl鍵	ctrlcq
DNA檢測	dnadoen
DNS劫持	dnsxsqi
DNS汙染	dnseded
Dock欄	dockdw
DoS攻擊	dosmkjq
Fami通	famiyb
ICP備案	icpobjd
IE瀏覽器	ieensurr
iOS版本	iosxedm
Lite版	litexe
MAC地址	macgdgm
Mac版本	macxedm
OK便利店	okokhnir
Papi醬	papivw
Pro版本	proxedm
QQ輸入法	qqjnohei
RIME輸入法	rimejnohei
RNA病毒	rnakbqi
T淋巴細胞	tedauvwbu
USB接口	usbqvr
USIM卡	usimyy
UU加速器	uukrylrr
VIP中P	viplp
VIP會員	vipoarc
V字仇殺隊	vjdonkeno
Web版本	webxedm
Web開發	webatne
WiFi通	wifiyb
Win版本	winxedm
XY染色體	xyednubt
XX染色體	xxednubt
互射12碼	mmhimmmmf
人均GDP	ogmgdp
兩盒Thx	mootthx
剎那F塞耶	knslfjgsl
台北101	irlpmmim
哥爾D羅傑	mrmkdwgod
單邊z變換	rjyszvkqk
好High	vdhigh
小Baby	ncbaby
日向坂46	ahrgewcyc
昂坪360	algjmmycmi
智能ABC	oaipabc
最High	aehigh
木曜4超玩	dagwcgrmu
沒有bug	eekbbug
湯java	ehjava
百大UP主	makupyg
立Flag	ytflag
紅Buff	vmbuff
維生素E乳	vghmqfebu
老Baby	jpbaby
蒙奇D卡普	tokrdyyta
蒙奇D路飛	tokrdrrno
