----------化學式	----------
一氧化二氫	一氧化二氫 H₂O
酒精	酒精 C₂H₆O
乙醇	乙醇 C₂H₆O
錳酸鉀	錳酸鉀 K₂MnO₄
高錳酸鉀	高錳酸鉀 KMnO₄
石灰石	石灰石 CaCO₃
石灰水	石灰水 Ca(OH)₂
膽礬	膽礬 CuSO₄·5H₂O
二氧化氫	二氧化氫 H₂O₂
純鹼	純鹼 Na₂CO₃
熟石灰	熟石灰 Ca(OH)₂
氨水	氨水 NH₃·H₂O
磷酸	磷酸 H₃PO₄
葡萄糖	葡萄糖 C₆H₁₂O₆
硫化鈉	硫化鈉 Na₂S
綠礬	綠礬 FeSO₄·7H₂O
氯酸鉀	氯酸鉀 KClO₃
明礬	明礬 KAl(SO₄)₂·12H₂O
硝酸銨	硝酸銨 NH₄NO₃
食鹽	食鹽 NaCl
氧化鐵	氧化鐵 Fe₂O₃
銅綠	銅綠 Cu₂(OH)₂CO₃
硫酸銅	硫酸銅 CuSO₄
燒鹼	燒鹼 NaOH
蔗糖	蔗糖 C₁₂H₂₂O₁₁
氧化鋁	氧化鋁 Al₂O₃
乾冰	乾冰 CO₂
硫酸鈉	硫酸鈉 Na₂SO₄
亞硝酸鈉	亞硝酸鈉 NaNO₂
纖維素	纖維素 (C₆H₁₀O₅)n
鐵粉	鐵粉 Fe
三聚氰胺	三聚氰胺 C₃H₆N₆
丁烷	丁烷 CH₃CH₂CH₂CH₃
食醋	食醋 CH₃COOH
醋酸	醋酸 CH₃COOH
孔雀石	孔雀石 Cu₂(OH)₂CO₃
草木灰	草木灰 K₂CO₃
丙烷	丙烷 C₃H₈
一氧化碳	一氧化碳 CO
二氧化碳	二氧化碳 CO₂
五氧化二磷	五氧化二磷 P₂O₅
氧化鈉	氧化鈉 Na₂O
二氧化氮	二氧化氮 NO₂
二氧化硅	二氧化硅 SiO₂
二氧化硫	二氧化硫 SO₂
三氧化硫	三氧化硫 SO₃
一氧化氮	一氧化氮 NO
氧化鎂	氧化鎂 MgO
氧化銅	氧化銅 CuO
氧化鋇	氧化鋇 BaO
氧化亞銅	氧化亞銅 Cu₂O
氧化亞鐵	氧化亞鐵 FeO
三氧化二鐵	三氧化二鐵 Fe₂O₃
四氧化三鐵	四氧化三鐵 Fe₃O₄
三氧化二鋁	三氧化二鋁 Al₂O₃
