吃瓜	吃瓜 [吃瓜]
奸笑	奸笑 [奸笑]
機智	機智 [機智]
耶	耶 [耶]
天啊	天啊 [天啊] ヽ(´･д･｀)ﾉ
社會	社會 [社會社會]
好的	好的 [好的]
打臉	打臉 [打臉]
翻白眼	翻白眼 [翻白眼]
苦澀	苦澀 [苦澀]
裂開	裂開 [裂開]
摳鼻	摳鼻 [摳鼻]
敬禮	敬禮 🫡 ∠(°ゝ°） (`ー´)7
致敬	致敬 🫡 ∠(°ゝ°） (`ー´)7
切	切  •᷄ࡇ•᷅  (ˉ▽￣～)切~~
出竅	出竅 0(:3)～=͟͟͞͞('､3)_ヽ)＿
bye	bye ヾ(￣▽￣)Bye~Bye~ (ToT)/~~~
不懂	不懂 (＠_＠;) ヾ(°ｰ°ヾ)^?啊咧？
去	去 乀(ˉεˉ乀) (ーー゛)
嚴肅	嚴肅 (･᷄ὢ･᷅)
悲劇	悲劇 (＞﹏＜)
睡醒	睡醒 ('-ωก̀) (つω｀)～
淡定	淡定 ━━(￣ー￣*|||━━
滾	滾 (ノ｀Д)ノ滾~
沒問題	沒問題 (〃･ิ‿･ิ)ゞ
最左	最左 ←_←
最右	最右 →_→
啊	啊 w(ﾟДﾟ)w (＃°Д°)啊？ ヽ(´･д･｀)ﾉ Ｏ(≧口≦)Ｏ
呃	呃 (⊙﹏⊙)呃~~ -________-'' (⊙﹏⊙)
別	別 (＞﹏＜)
嚇	嚇 !!!∑(°Д°ノ)ノ (☄⊙ω⊙)☄ (*Φ皿Φ*)
嗷	嗷 ┗|｀O′|┛嗷~~ ヾ(≧O≦)〃嗷~ (>▽<)
喂	喂 (#`O′)
呆	呆 (⊙_⊙)
呵呵	呵呵 눈_눈 (￣▽￣)"
嘚瑟	嘚瑟 ʅ（´◔౪◔）ʃ ～(￣▽￣～)~ 〜(￣▽￣〜)(〜￣▽￣)〜 ⁽⁽ଘ(ˊᵕˋ)ଓ⁾⁾
哈	哈 ⸜(⌓̈)⸝
哼	哼 o(￣ヘ￣o＃) (ˇ╮ˇ)
囧	囧 （´Д`）
愣住	愣住 (°ー°〃)
懶	懶 _(:3」∠)_ _(:ᗤ」ㄥ)_ _(°ω°」∠)_ _(´ཀ`」∠)_ _('-'_)⌒)_ ⊂︎(__⊂︎⌒︎`つ ヾ(⌒(_´-ㅅ-`)_ 0(:3)～=͟͟͞͞('､3)_ヽ)＿
懶腰	懶腰 ٩(๑´0`๑)۶
飛奔	飛奔 ─=≡Σ(((つ•̀ω•́)つ
糟糕	糟糕 X﹏X
orz	orz ○|￣|_
害羞	害羞 🫣 (*/ω＼*) (⁄⁄•⁄ω⁄•⁄⁄) (′▽`〃) (✿◡‿◡) o(*////▽////*)q
掀桌	掀桌 （╯°口°）╯︵┴─┴ (ノ=Д=)ノ┻━┻ (╯‵□′)╯︵┻━┻ o(*≧▽≦)ツ┏━┓ ┻━┻︵╰(‵□′)╯︵┻━┻
打架	打架 ((◞•̀д•́)◞⚔◟(•̀д•́◟))
打嗝	打嗝 ε-(´∀｀;)
招呼	招呼 (｡･∀･)ﾉﾞヾ(･ω･。)
可怕	可怕 ヽ(*。>Д<)o゜
賴	賴 ᕕ(ᐛ)ᕗ
失落	失落 (。_。)
他	他 ╭(′•㉨•′)╭☞
伸懶腰	伸懶腰 ٩(๑´0`๑)۶
笨	笨 (～￣(OO)￣)ブ (っ*´Д`)っ
崩潰	崩潰 o(≧口≦)o
別走	別走 _____λ......___丬別走啊～～
bingo	bingo (o゜▽゜)o☆[BINGO!]
鼻涕	鼻涕 (￣‘i￣;)
對不起	對不起 o(￣┰￣*)ゞ （＞人＜；） （。・＿・。）ﾉ
吃飯	吃飯 ψ(｀∇´)ψ (((((ヾ(o=^•ェ•)o┏━┓
臭美	臭美 (o≖◡≖)
